| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
| col_2_track_19 | Gigo's Gundi | Adesam Tkva | Erkomaishvilebi_-_Adesam_Tkva.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Adesam_Tkva.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_18 | Gigo's Gundi | Adila-Alipasha | Erkomaishvilebi_-_Adila_Alipasha (1).mp3 | Gigo's Gundi/Erkomaishvilebi_-_Adila_Alipasha (1).mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_14 | Gigo's Gundi | Alilo | Erkomaishvilebi_-_Alilo.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Alilo.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_4 | Gigo's Gundi | Chemo Natlidedao | Erkomaishvilebi_-_Chemo_Natlidedao.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Chemo_Natlidedao.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_13 | Gigo's Gundi | Chven Mshvidoba | Erkomaishvilebi_-_Chven_Mshvidoba.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Chven_Mshvidoba.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_17 | Gigo's Gundi | Dzveli Orira | Erkomaishvilebi_-_Dzveli_Orira.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Dzveli_Orira.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_30 | Gigo's Gundi | Elesa | Erkomaishvilebi_-_Elesa.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Elesa.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_10 | Gigo's Gundi | Iaramasha | Erkomaishvilebi_-_Iaramsha.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Iaramsha.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_24 | Gigo's Gundi | Indi Mindi | Erkomaishvilebi_-_Indi_Mindi.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Indi_Mindi.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_8 | Gigo's Gundi | Khasanbegura | Erkomaishvilebi_-_Khasanbegura.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Khasanbegura.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_16 | Gigo's Gundi | Khelkhvavi (Adila) | Erkomaishvilebi_-_Kheklkhvavi(Adila).mp3 | Gigo's Gundi/Erkomaishvilebi_-_Kheklkhvavi(Adila).mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_29 | Gigo's Gundi | Murvan Murvan | Erkomaishvilebi_-_Murvan_Murvan.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Murvan_Murvan.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_3 | Gigo's Gundi | Patara Sakvarelo | Erkomaishvilebi_-_Patara_Sakvarelo.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Patara_Sakvarelo.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_9 | Gigo's Gundi | Perkhuli | Erkomaishvilebi_-_Perkhuli.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Perkhuli.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_6 | Gigo's Gundi | Piruzi | Erkomaishvilebi_-_Piruzi.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Piruzi.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_2 | Gigo's Gundi | Sajavakhura | Erkomaishvilebi_-_Sajavakhura.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Sajavakhura.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_20 | Gigo's Gundi | Satsekvao Simgera | Erkomaishvilebi_-_Satsekvao_Simgera.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Satsekvao_Simgera.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_28 | Gigo's Gundi | Shvidkatsa | Erkomaishvilebi_-_Shvidkatsa.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Shvidkatsa.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_15 | Gigo's Gundi | Madlobeli | Erkomaishvilebi_-_Madlobeli1.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Madlobeli1.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
